NAMA_DESA,KODE_DESA,LUAS,PENDUDUK,TOTAL_AREA
Sindutan,34.01.010.002,2979.0,1908,258.6
Glagah,34.01.010.004,6040.0,2546,360.1
Kedundang,34.01.010.007,1390.0,2390,160.6
Temon Wetan,34.01.010.011,2227.0,1803,222.5
Janten,34.01.010.014,1331.0,1229,273.4
Kulwaru,34.01.020.003,2517.0,2690,248.7
Bendungan,34.01.020.005,4819.0,6317,388.2
Wates,34.01.020.008,4282.0,13673,575.5
Garongan,34.01.030.001,6239.0,3193,590.0
Bugel,34.01.030.003,6423.0,4515,726.0
Panjatan,34.01.030.009,1117.0,1661,130.6
Banaran,34.01.040.002,9072.0,5175,763.6
Brosot,34.01.040.005,3225.0,4781,290.5
Wahyuharjo,34.01.050.001,1673.0,1908,323.9
Sidorejo,34.01.050.004,8438.0,7144,834.8
Demangrejo,34.01.060.001,3359.0,3172,432.8
Tuksono,34.01.060.003,10309.0,6827,912.8
Kaliagung,34.01.060.006,7171.0,5145,981.4
Sidomulyo,34.01.070.007,14908.0,5724,1448.0
Wijimulyo,34.01.090.003,6064.0,5583,956.8
Kembang,34.01.090.006,5105.0,4980,390.7
Banjarsari,34.01.110.002,8554.0,3857,910.6
Banjjarsari,34.01.120.002,11420.0,6009,1617.0
Gadingsari,34.02.020.001,8117.0,11041,1108.0
Tirtohajo,34.02.030.001,3620.0,2870,388.6
Tirtomulyo,34.02.030.005,4189.0,6893,515.1
Seloharjo,34.02.040.001,11105.0,10210,810.9
Sumbermulyo,34.02.050.003,8199.0,15359,594.8
Triharjo,34.02.060.002,6431.0,10767,576.0
Ringinharjo,34.02.070.002,2770.0,6785,230.8
Sabdodadi,34.02.070.005,2320.0,5570,289.4
Trimulyo,34.02.080.004,7104.0,12922,638.2
Kebonagung,34.02.090.003,1871.0,3253,213.4
Mangunan,34.02.100.001,7345.0,4195,1125.0
Temuwuh,34.02.100.004,7163.0,6005,647.0
Bawuran,34.02.110.004,4970.0,5034,443.8
